Provincia,Cantón,Parroquia,Dirección,Código Institución,Nombre Institución,Sostenimiento,Régimen Escolar,Jurisdicción,Identificación Etnica,Nacionalidad Predominante,Pueblo Predominante,Número Alumnos,Número Docentes,Estudiantes por docente
AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,   COMUNIDAD LA LIBERTAD,01B00059,ESCUELA DE EDUCACIÓN BÁSICA OSWALDO GUAYASAMIN,Fiscal,Costa,Intercultural Bilingüe,Mestiza,Mestiza,Mestiza,2.0,1.0,2.0
AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,   COMUNIDAD PIJILÍ CHICO,01B00069,ESCUELA DE EDUCACIÓN BÁSICA 20 DE AGOSTO,Fiscal,Costa,Intercultural Bilingüe,Mestiza,Mestiza,Mestiza,4.0,1.0,4.0
AZUAY,CUENCA,CHAUCHA,   COMUNIDAD COCA,01B00021,ESCUELA DE EDUCACION BASICA SEIS DE JUNIO,Fiscal,Costa,Intercultural Bilingüe,Mestiza,Mestiza,Mestiza,10.0,1.0,10.0
BOLIVAR,ECHEANDIA,ECHEANDIA,   RECINTO CARIMARA,02B00097,30 DE ABRIL,Fiscal,Costa,Intercultural Bilingüe,Indígena,Kichwa,Waranka,8.0,1.0,8.0
BOLIVAR,ECHEANDIA,ECHEANDIA,   RECINTO EL CALVARIO,02B00096,MONTE ALEGRE,Fiscal,Costa,Intercultural Bilingüe,Indígena,Kichwa,Waranka,2.0,1.0,2.0
BOLIVAR,ECHEANDIA,ECHEANDIA,VIA GUARANDA 1 SIMON BOLIVAR ,02B00095,CENTRO EDUCATIVO COMUNITARIO INTERCULTURAL BILINGUE DE EDUCACION BASICA DR RAUL URBINA BERMEO,Fiscal,Costa,Intercultural Bilingüe,Indígena,Kichwa,Waranka,26.0,2.0,13.0
BOLIVAR,GUARANDA,FACUNDO VELA,   BARRIO  MIRA FLORES,02B00019,UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL BILINGÜE CHINIBI,Fiscal,Costa,Intercultural Bilingüe,Indígena,Kichwa,Waranka,166.0,11.0,15.09
BOLIVAR,GUARANDA,FACUNDO VELA,   RECINTO EL PORVENIR,02B00102,CECIB  DE EB  20 DE AGOSTO,Fiscal,Costa,Intercultural Bilingüe,Indígena,Kichwa,Waranka,19.0,1.0,19.0
BOLIVAR,GUARANDA,FACUNDO VELA,   RECINTO EL RECREO,02B00100,CENTRO EDUCATIVO COMUNITARIO INTERCULTURAL BILINGÜE EL DESCANSO,Fiscal,Costa,Intercultural Bilingüe,Indígena,Kichwa,Tomabela,8.0,1.0,8.0
BOLIVAR,GUARANDA,FACUNDO VELA,   RECINTO  LA FLORIDA,02B00103,CECIB DE EB 9 DE NOVIEMBRE DE 1988,Fiscal,Costa,Intercultural Bilingüe,Indígena,Kichwa,Tomabela,11.0,1.0,11.0
BOLIVAR,GUARANDA,FACUNDO VELA,   RECINTO SANTA TERESITA DE LA UNION,02B00104,CECIB DE EB MUSHUK  PAKARI,Fiscal,Costa,Intercultural Bilingüe,Indígena,Kichwa,Waranka,6.0,1.0,6.0
BOLIVAR,GUARANDA,GUANUJO,   COMUNIDAD  GUANTUC CRUZ,02B00025,CECIB DE EB NUEVA ESPERANZA,Fiscal,Costa,Intercultural Bilingüe,Indígena,Kichwa,Waranka,149.0,8.0,18.62
BOLIVAR,GUARANDA,JULIO E. MORENO (CATANAHUAN GRANDE),   COMUNIDAD MORASPAMBA,02B00106,9 DE MAYO,Fiscal,Costa,Intercultural Bilingüe,Indígena,Kichwa,Waranka,9.0,1.0,9.0
BOLIVAR,GUARANDA,SALINAS,   MONOLOMA,02B00101,CECIB DE EB PADRE MIGUEL MURILLO,Fiscal,Costa,Intercultural Bilingüe,Indígena,Kichwa,Waranka,8.0,1.0,8.0
BOLIVAR,GUARANDA,SALINAS,   RECINTO CHAUPI GUAYAMA,02B00059,CICEB DE EB  SAN FRANCISCO,Fiscal,Costa,Intercultural Bilingüe,Indígena,Kichwa,Waranka,8.0,1.0,8.0
BOLIVAR,GUARANDA,SALINAS,   RECINTO GRAMALOTE,02B00055,CECIB DE EB  HUALCOPO DUCHICELA,Fiscal,Costa,Intercultural Bilingüe,Indígena,Kichwa,Waranka,14.0,1.0,14.0
BOLIVAR,GUARANDA,SALINAS,   RECINTO LANZA URCO,02B00058,CECIB DE EB  RIO VERDE,Fiscal,Costa,Intercultural Bilingüe,Indígena,Kichwa,Waranka,21.0,1.0,21.0
BOLIVAR,GUARANDA,SIMIATUG,   COMUNIDAD MINDINA,02B00080,UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL BILINGÜE CACIQUE GUARANGA,Fiscal,Costa,Intercultural Bilingüe,Indígena,Kichwa,Waranka,146.0,11.0,13.27
BOLIVAR,GUARANDA,SIMIATUG,   RECINTO CASCARILLAS,02B00108,CECIB DE EB PRINCESA TOA,Fiscal,Costa,Intercultural Bilingüe,Indígena,Kichwa,Waranka,35.0,1.0,35.0
BOLIVAR,GUARANDA,SIMIATUG,   RECINTO LA CABAÑA,02B00084,CECIB DE EB ANDRES  LEMA CHIMBO,Fiscal,Costa,Intercultural Bilingüe,Indígena,Kichwa,Waranka,22.0,1.0,22.0
BOLIVAR,GUARANDA,SIMIATUG,   RECINTO SALALEO,02B00107,CECIB DE EB RUNA SHUNKU,Fiscal,Costa,Intercultural Bilingüe,Indígena,Kichwa,Waranka,44.0,3.0,14.67
BOLIVAR,GUARANDA,SIMIATUG,   RECINTO SANTA TERESA,02B00082,CENTRO EDUCATIVO COMUNITARIO INTERCULTURAL BILINGÜE 23 DE ABRIL,Fiscal,Costa,Intercultural Bilingüe,Indígena,Kichwa,Waranka,15.0,1.0,15.0
BOLIVAR,GUARANDA,SIMIATUG,   RECINTO YATALO,02B00133,CECIB DE EB GUARANGA,Fiscal,Costa,Intercultural Bilingüe,Indígena,Kichwa,Waranka,44.0,2.0,22.0
BOLIVAR,LAS NAVES,LAS NAVES,   RECINTO CERRO AZUL,02B00110,CORONEL MANUEL DE ECHEANDIA,Fiscal,Costa,Intercultural Bilingüe,Indígena,Kichwa,Waranka,2.0,1.0,2.0
CAÑAR,CAÑAR,CAÑAR,   COMUNIDAD  SANTA MARIA,03B00008,CECIB DE EDUCACION BASICA JOSE ANTONIO NEIRA,Fiscal,Costa,Intercultural Bilingüe,Indígena,Kichwa,Kañari,3.0,1.0,3.0
CAÑAR,CAÑAR,CHONTAMARCA,   COMUNIDAD EL ROSARIO,03B00121,CECIB DE EDUCACION BASICA EL ROSARIO,Fiscal,Costa,Intercultural Bilingüe,Indígena,Kichwa,Kañari,12.0,1.0,12.0
CAÑAR,CAÑAR,CHONTAMARCA,   COMUNIDAD LA ESPERANZA,03B00024,CECIB DE EDUCACION BASICA 24 DE JULIO,Fiscal,Costa,Intercultural Bilingüe,Indígena,Kichwa,Kañari,14.0,1.0,14.0
CAÑAR,CAÑAR,CHONTAMARCA,   COMUNIDAD SAN JUAN DE PAPAYAL,03B00021,CECIB DE EDUCACION BASICA JUAN MANUEL LEMA,Fiscal,Costa,Intercultural Bilingüe,Mestiza,Mestiza,Mestiza,9.0,1.0,9.0
CAÑAR,CAÑAR,CHONTAMARCA,   COMUNIDAD SURUPUNGO,03B00022,CECIB DE EDUCACION BASICA INTI RAYMI,Fiscal,Costa,Intercultural Bilingüe,Indígena,Kichwa,Kañari,4.0,1.0,4.0
CAÑAR,CAÑAR,CHONTAMARCA,   COMUNIDAD TIOPAMBA,03B00025,CECIB DE EDUCACION BASICA FERNANDO DAQUILEMA,Fiscal,Costa,Intercultural Bilingüe,Indígena,Kichwa,Kañari,3.0,1.0,3.0
CAÑAR,CAÑAR,CHONTAMARCA,   RAMOS URCU COMUNIDAD,03B00020,CECIB DE EDUCACION BASICA LORENZA ABIMAÑAY,Fiscal,Costa,Intercultural Bilingüe,Indígena,Kichwa,Kañari,6.0,1.0,6.0
CAÑAR,CAÑAR,GENERAL MORALES (SOCARTE),   COMUNIDAD CRUZ DE ANGAMARCA,03B00035,CECIB DE EDUCACION BASICA TUPAK KATARI,Fiscal,Costa,Intercultural Bilingüe,Indígena,Kichwa,Kañari,30.0,2.0,15.0
CAÑAR,CAÑAR,GENERAL MORALES (SOCARTE),   COMUNIDAD HIERBA BUENA,03B00031,CECIB DE EDUCACION BASICA JAIME ROLDOS AGUILERA,Fiscal,Costa,Intercultural Bilingüe,Indígena,Kichwa,Kañari,29.0,2.0,14.5
CAÑAR,CAÑAR,GENERAL MORALES (SOCARTE),   COMUNIDAD ILIN,03B00033,CECIB DE EDUCACION BASICA DOLORES CACUANGO,Fiscal,Costa,Intercultural Bilingüe,Indígena,Kichwa,Kañari,8.0,1.0,8.0
